RANK,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,Type,UID,Population Sum,% of Population,Total
1745,50,25,7,0,0,0,0,A,Dukes County,Massachusetts,20595,20579,21109,20868,County,Dukes County_Massachusetts_20595_20579_21109_20868,316342276,95.93%,
1746,50,19,105,0,0,0,0,A,Jones County,Iowa,20646,20653,20839,20848,County,Jones County_Iowa_20646_20653_20839_20848,316363124,95.93%,
1747,50,13,199,0,0,0,0,A,Meriwether County,Georgia,20610,20606,20715,20845,County,Meriwether County_Georgia_20610_20606_20715_20845,316383969,95.94%,
1748,50,55,53,0,0,0,0,A,Jackson County,Wisconsin,21142,21096,20899,20836,County,Jackson County_Wisconsin_21142_21096_20899_20836,316404805,95.95%,
1749,50,8,75,0,0,0,0,A,Logan County,Colorado,21527,21204,21122,20823,County,Logan County_Colorado_21527_21204_21122_20823,316425628,95.95%,
1750,50,17,173,0,0,0,0,A,Shelby County,Illinois,20995,20924,20861,20761,County,Shelby County_Illinois_20995_20924_20861_20761,316446389,95.96%,
1751,50,48,89,0,0,0,0,A,Colorado County,Texas,20555,20558,20592,20754,County,Colorado County_Texas_20555_20558_20592_20754,316467143,95.97%,
1752,50,22,111,0,0,0,0,A,Union Parish,Louisiana,21106,21090,20996,20721,Parish,Union Parish_Louisiana_21106_21090_20996_20721,316487864,95.97%,
1753,50,19,19,0,0,0,0,A,Buchanan County,Iowa,20565,20606,20697,20714,County,Buchanan County_Iowa_20565_20606_20697_20714,316508578,95.98%,
1754,50,56,41,0,0,0,0,A,Uinta County,Wyoming,20446,20457,20655,20712,County,Uinta County_Wyoming_20446_20457_20655_20712,316529290,95.99%,
1755,50,29,147,0,0,0,0,A,Nodaway County,Missouri,21240,21000,20984,20670,County,Nodaway County_Missouri_21240_21000_20984_20670,316549960,95.99%,
1756,50,18,153,0,0,0,0,A,Sullivan County,Indiana,20820,20819,20781,20670,County,Sullivan County_Indiana_20820_20819_20781_20670,316570630,96.00%,
1757,50,56,23,0,0,0,0,A,Lincoln County,Wyoming,19582,19657,20170,20660,County,Lincoln County_Wyoming_19582_19657_20170_20660,316591290,96.00%,
1758,50,55,61,0,0,0,0,A,Kewaunee County,Wisconsin,20556,20550,20577,20623,County,Kewaunee County_Wisconsin_20556_20550_20577_20623,316611913,96.01%,
1759,50,22,7,0,0,0,0,A,Assumption Parish,Louisiana,21040,20957,20726,20604,Parish,Assumption Parish_Louisiana_21040_20957_20726_20604,316632517,96.02%,
1760,50,19,21,0,0,0,0,A,Buena Vista County,Iowa,20830,20809,20767,20600,County,Buena Vista County_Iowa_20830_20809_20767_20600,316653117,96.02%,
1761,50,48,285,0,0,0,0,A,Lavaca County,Texas,20337,20348,20490,20589,County,Lavaca County_Texas_20337_20348_20490_20589,316673706,96.03%,
1762,50,17,145,0,0,0,0,A,Perry County,Illinois,20940,20882,21033,20588,County,Perry County_Illinois_20940_20882_21033_20588,316694294,96.04%,
1763,50,49,7,0,0,0,0,A,Carbon County,Utah,20418,20488,20361,20571,County,Carbon County_Utah_20418_20488_20361_20571,316714865,96.04%,
1764,50,19,27,0,0,0,0,A,Carroll County,Iowa,20757,20721,20752,20567,County,Carroll County_Iowa_20757_20721_20752_20567,316735432,96.05%,
1765,50,18,15,0,0,0,0,A,Carroll County,Indiana,20304,20331,20502,20555,County,Carroll County_Indiana_20304_20331_20502_20555,316755987,96.05%,
1766,50,54,109,0,0,0,0,A,Wyoming County,West Virginia,21387,21317,20991,20527,County,Wyoming County_West Virginia_21387_21317_20991_20527,316776514,96.06%,
1767,50,40,139,0,0,0,0,A,Texas County,Oklahoma,21386,21291,20822,20495,County,Texas County_Oklahoma_21386_21291_20822_20495,316797009,96.07%,
1768,50,47,159,0,0,0,0,A,Smith County,Tennessee,19914,19970,20181,20489,County,Smith County_Tennessee_19914_19970_20181_20489,316817498,96.07%,
1769,50,45,39,0,0,0,0,A,Fairfield County,South Carolina,20951,20880,20698,20455,County,Fairfield County_South Carolina_20951_20880_20698_20455,316837953,96.08%,
1770,50,47,173,0,0,0,0,A,Union County,Tennessee,19802,19841,19996,20452,County,Union County_Tennessee_19802_19841_19996_20452,316858405,96.09%,
1771,50,13,321,0,0,0,0,A,Worth County,Georgia,20783,20738,20557,20424,County,Worth County_Georgia_20783_20738_20557_20424,316878829,96.09%,
1772,50,16,45,0,0,0,0,A,Gem County,Idaho,19126,19274,19832,20418,County,Gem County_Idaho_19126_19274_19832_20418,316899247,96.10%,
1773,50,45,11,0,0,0,0,A,Barnwell County,South Carolina,20585,20580,20580,20414,County,Barnwell County_South Carolina_20585_20580_20580_20414,316919661,96.10%,
1774,50,35,27,0,0,0,0,A,Lincoln County,New Mexico,20273,20313,20421,20411,County,Lincoln County_New Mexico_20273_20313_20421_20411,316940072,96.11%,
1775,50,18,49,0,0,0,0,A,Fulton County,Indiana,20480,20469,20380,20327,County,Fulton County_Indiana_20480_20469_20380_20327,316960399,96.12%,
1776,50,29,15,0,0,0,0,A,Benton County,Missouri,19395,19424,19916,20224,County,Benton County_Missouri_19395_19424_19916_20224,316980623,96.12%,
1777,50,8,15,0,0,0,0,A,Chaffee County,Colorado,19473,19477,19711,20223,County,Chaffee County_Colorado_19473_19477_19711_20223,317000846,96.13%,
1778,50,48,233,0,0,0,0,A,Hutchinson County,Texas,20614,20568,20411,20215,County,Hutchinson County_Texas_20614_20568_20411_20215,317021061,96.13%,
1779,50,37,79,0,0,0,0,A,Greene County,North Carolina,20449,20440,20261,20211,County,Greene County_North Carolina_20449_20440_20261_20211,317041272,96.14%,
1780,50,21,215,0,0,0,0,A,Spencer County,Kentucky,19433,19510,19895,20204,County,Spencer County_Kentucky_19433_19510_19895_20204,317061476,96.15%,
1781,50,18,75,0,0,0,0,A,Jay County,Indiana,20478,20476,20309,20198,County,Jay County_Indiana_20478_20476_20309_20198,317081674,96.15%,
1782,50,28,27,0,0,0,0,A,Coahoma County,Mississippi,21393,21230,20732,20197,County,Coahoma County_Mississippi_21393_21230_20732_20197,317101871,96.16%,
1783,50,19,87,0,0,0,0,A,Henry County,Iowa,20488,20451,20390,20196,County,Henry County_Iowa_20488_20451_20390_20196,317122067,96.17%,
1784,50,13,229,0,0,0,0,A,Pierce County,Georgia,19716,19746,19975,20168,County,Pierce County_Georgia_19716_19746_19975_20168,317142235,96.17%,
1785,50,49,13,0,0,0,0,A,Duchesne County,Utah,19603,19617,19806,20161,County,Duchesne County_Utah_19603_19617_19806_20161,317162396,96.18%,
1786,50,22,77,0,0,0,0,A,Pointe Coupee Parish,Louisiana,20757,20670,20323,20151,Parish,Pointe Coupee Parish_Louisiana_20757_20670_20323_20151,317182547,96.18%,
1787,50,48,489,0,0,0,0,A,Willacy County,Texas,20163,20150,20290,20143,County,Willacy County_Texas_20163_20150_20290_20143,317202690,96.19%,
1788,50,13,133,0,0,0,0,A,Greene County,Georgia,18907,19021,19553,20139,County,Greene County_Georgia_18907_19021_19553_20139,317222829,96.20%,
1789,50,5,149,0,0,0,0,A,Yell County,Arkansas,20259,20214,20152,20129,County,Yell County_Arkansas_20259_20214_20152_20129,317242958,96.20%,
1790,50,21,17,0,0,0,0,A,Bourbon County,Kentucky,20250,20290,20218,20093,County,Bourbon County_Kentucky_20250_20290_20218_20093,317263051,96.21%,
1791,50,48,457,0,0,0,0,A,Tyler County,Texas,19799,19811,19892,20030,County,Tyler County_Texas_19799_19811_19892_20030,317283081,96.21%,
1792,50,40,153,0,0,0,0,A,Woodward County,Oklahoma,20473,20406,20216,19990,County,Woodward County_Oklahoma_20473_20406_20216_19990,317303071,96.22%,
1793,50,13,231,0,0,0,0,A,Pike County,Georgia,18881,18936,19534,19990,County,Pike County_Georgia_18881_18936_19534_19990,317323061,96.23%,
1794,50,37,149,0,0,0,0,A,Polk County,North Carolina,19330,19383,19691,19986,County,Polk County_North Carolina_19330_19383_19691_19986,317343047,96.23%,
1795,50,55,119,0,0,0,0,A,Taylor County,Wisconsin,19915,19937,19944,19975,County,Taylor County_Wisconsin_19915_19937_19944_19975,317363022,96.24%,
1796,50,19,191,0,0,0,0,A,Winneshiek County,Iowa,20061,20037,19915,19974,County,Winneshiek County_Iowa_20061_20037_19915_19974,317382996,96.24%,
1797,50,46,35,0,0,0,0,A,Davison County,South Dakota,19960,19962,19926,19973,County,Davison County_South Dakota_19960_19962_19926_19973,317402969,96.25%,
1798,50,18,147,0,0,0,0,A,Spencer County,Indiana,19814,19835,19875,19967,County,Spencer County_Indiana_19814_19835_19875_19967,317422936,96.26%,
1799,50,48,161,0,0,0,0,A,Freestone County,Texas,19445,19445,19784,19950,County,Freestone County_Texas_19445_19445_19784_19950,317442886,96.26%,
1800,50,21,213,0,0,0,0,A,Simpson County,Kentucky,19595,19626,19716,19949,County,Simpson County_Kentucky_19595_19626_19716_19949,317462835,96.27%,
1801,50,48,253,0,0,0,0,A,Jones County,Texas,19653,19678,19809,19935,County,Jones County_Texas_19653_19678_19809_19935,317482770,96.27%,
1802,50,21,51,0,0,0,0,A,Clay County,Kentucky,20339,20310,20184,19913,County,Clay County_Kentucky_20339_20310_20184_19913,317502683,96.28%,
1803,50,54,43,0,0,0,0,A,Lincoln County,West Virginia,20459,20363,20191,19901,County,Lincoln County_West Virginia_20459_20363_20191_19901,317522584,96.29%,
1804,50,48,177,0,0,0,0,A,Gonzales County,Texas,19657,19679,19655,19832,County,Gonzales County_Texas_19657_19679_19655_19832,317542416,96.29%,
1805,50,22,83,0,0,0,0,A,Richland Parish,Louisiana,20049,20032,19890,19826,Parish,Richland Parish_Louisiana_20049_20032_19890_19826,317562242,96.30%,
1806,50,13,105,0,0,0,0,A,Elbert County,Georgia,19638,19667,19554,19814,County,Elbert County_Georgia_19638_19667_19554_19814,317582056,96.30%,
1807,50,13,91,0,0,0,0,A,Dodge County,Georgia,19929,19874,19675,19802,County,Dodge County_Georgia_19929_19874_19675_19802,317601858,96.31%,
1808,50,21,155,0,0,0,0,A,Marion County,Kentucky,19577,19588,19758,19775,County,Marion County_Kentucky_19577_19588_19758_19775,317621633,96.32%,
1809,50,48,123,0,0,0,0,A,DeWitt County,Texas,19822,19835,19949,19772,County,DeWitt County_Texas_19822_19835_19949_19772,317641405,96.32%,
1810,50,20,99,0,0,0,0,A,Labette County,Kansas,20188,20165,19929,19757,County,Labette County_Kansas_20188_20165_19929_19757,317661162,96.33%,
1811,50,17,41,0,0,0,0,A,Douglas County,Illinois,19734,19758,19740,19755,County,Douglas County_Illinois_19734_19758_19740_19755,317680917,96.33%,
1812,50,13,303,0,0,0,0,A,Washington County,Georgia,19992,19948,19766,19738,County,Washington County_Georgia_19992_19948_19766_19738,317700655,96.34%,
1813,50,13,81,0,0,0,0,A,Crisp County,Georgia,20127,20050,20024,19708,County,Crisp County_Georgia_20127_20050_20024_19708,317720363,96.35%,
1814,50,48,57,0,0,0,0,A,Calhoun County,Texas,20105,20063,19798,19706,County,Calhoun County_Texas_20105_20063_19798_19706,317740069,96.35%,
1815,50,28,153,0,0,0,0,A,Wayne County,Mississippi,19774,19803,19712,19681,County,Wayne County_Mississippi_19774_19803_19712_19681,317759750,96.36%,
1816,50,21,231,0,0,0,0,A,Wayne County,Kentucky,19559,19542,19569,19681,County,Wayne County_Kentucky_19559_19542_19569_19681,317779431,96.36%,
1817,50,29,217,0,0,0,0,A,Vernon County,Missouri,19710,19669,19605,19651,County,Vernon County_Missouri_19710_19669_19605_19651,317799082,96.37%,
1818,50,12,59,0,0,0,0,A,Holmes County,Florida,19657,19569,19295,19651,County,Holmes County_Florida_19657_19569_19295_19651,317818733,96.38%,
1819,50,27,91,0,0,0,0,A,Martin County,Minnesota,20024,19982,19899,19650,County,Martin County_Minnesota_20024_19982_19899_19650,317838383,96.38%,
1820,50,18,117,0,0,0,0,A,Orange County,Indiana,19872,19848,19812,19623,County,Orange County_Indiana_19872_19848_19812_19623,317858006,96.39%,
1821,50,21,99,0,0,0,0,A,Hart County,Kentucky,19281,19289,19485,19600,County,Hart County_Kentucky_19281_19289_19485_19600,317877606,96.39%,
1822,50,40,1,0,0,0,0,A,Adair County,Oklahoma,19494,19451,19479,19576,County,Adair County_Oklahoma_19494_19451_19479_19576,317897182,96.40%,
1823,50,55,67,0,0,0,0,A,Langlade County,Wisconsin,19491,19462,19505,19559,County,Langlade County_Wisconsin_19491_19462_19505_19559,317916741,96.41%,
1824,50,13,171,0,0,0,0,A,Lamar County,Georgia,18500,18551,18684,19467,County,Lamar County_Georgia_18500_18551_18684_19467,317936208,96.41%,
1825,50,5,57,0,0,0,0,A,Hempstead County,Arkansas,20062,19981,19679,19453,County,Hempstead County_Arkansas_20062_19981_19679_19453,317955661,96.42%,
1826,50,40,91,0,0,0,0,A,McIntosh County,Oklahoma,18944,18950,19262,19451,County,McIntosh County_Oklahoma_18944_18950_19262_19451,317975112,96.42%,
1827,50,22,93,0,0,0,0,A,St. James Parish,Louisiana,20194,20117,19790,19423,Parish,St. James Parish_Louisiana_20194_20117_19790_19423,317994535,96.43%,
1828,50,1,99,0,0,0,0,A,Monroe County,Alabama,19770,19704,19557,19404,County,Monroe County_Alabama_19770_19704_19557_19404,318013939,96.44%,
1829,50,46,5,0,0,0,0,A,Beadle County,South Dakota,19153,19165,19182,19376,County,Beadle County_South Dakota_19153_19165_19182_19376,318033315,96.44%,
1830,50,51,27,0,0,0,0,A,Buchanan County,Virginia,20348,20249,19861,19352,County,Buchanan County_Virginia_20348_20249_19861_19352,318052667,96.45%,
1831,50,6,63,0,0,0,0,A,Plumas County,California,19796,19749,19940,19351,County,Plumas County_California_19796_19749_19940_19351,318072018,96.45%,
1832,50,5,113,0,0,0,0,A,Polk County,Arkansas,19223,19187,19331,19337,County,Polk County_Arkansas_19223_19187_19331_19337,318091355,96.46%,
1833,50,47,49,0,0,0,0,A,Fentress County,Tennessee,18489,18533,18837,19332,County,Fentress County_Tennessee_18489_18533_18837_19332,318110687,96.46%,
1834,50,13,11,0,0,0,0,A,Banks County,Georgia,18037,18082,18538,19328,County,Banks County_Georgia_18037_18082_18538_19328,318130015,96.47%,
1835,50,19,97,0,0,0,0,A,Jackson County,Iowa,19485,19452,19397,19324,County,Jackson County_Iowa_19485_19452_19397_19324,318149339,96.48%,
1836,50,24,29,0,0,0,0,A,Kent County,Maryland,19195,19114,19254,19320,County,Kent County_Maryland_19195_19114_19254_19320,318168659,96.48%,
1837,50,22,41,0,0,0,0,A,Franklin Parish,Louisiana,19774,19712,19593,19308,Parish,Franklin Parish_Louisiana_19774_19712_19593_19308,318187967,96.49%,
1838,50,19,65,0,0,0,0,A,Fayette County,Iowa,19511,19445,19309,19294,County,Fayette County_Iowa_19511_19445_19309_19294,318207261,96.49%,
1839,50,55,47,0,0,0,0,A,Green Lake County,Wisconsin,19023,19022,19249,19220,County,Green Lake County_Wisconsin_19023_19022_19249_19220,318226481,96.50%,
1840,50,35,28,0,0,0,1,A,Los Alamos County,New Mexico,19418,19415,19340,19187,County,Los Alamos County_New Mexico_19418_19415_19340_19187,318245668,96.51%,
1841,50,18,123,0,0,0,0,A,Perry County,Indiana,19170,19151,19317,19183,County,Perry County_Indiana_19170_19151_19317_19183,318264851,96.51%,
1842,50,29,229,0,0,0,0,A,Wright County,Missouri,18187,18211,18640,19156,County,Wright County_Missouri_18187_18211_18640_19156,318284007,96.52%,
1843,50,22,37,0,0,0,0,A,East Feliciana Parish,Louisiana,19536,19450,19319,19135,Parish,East Feliciana Parish_Louisiana_19536_19450_19319_19135,318303142,96.52%,
1844,50,47,85,0,0,0,0,A,Humphreys County,Tennessee,18992,19001,19200,19106,County,Humphreys County_Tennessee_18992_19001_19200_19106,318322248,96.53%,
1845,50,21,97,0,0,0,0,A,Harrison County,Kentucky,18692,18718,18964,19103,County,Harrison County_Kentucky_18692_18718_18964_19103,318341351,96.53%,
1846,50,20,21,0,0,0,0,A,Cherokee County,Kansas,19357,19297,19208,19088,County,Cherokee County_Kansas_19357_19297_19208_19088,318360439,96.54%,
1847,50,21,1,0,0,0,0,A,Adair County,Kentucky,18903,18880,18953,19067,County,Adair County_Kentucky_18903_18880_18953_19067,318379506,96.55%,
1848,50,12,41,0,0,0,0,A,Gilchrist County,Florida,17862,17883,18306,18992,County,Gilchrist County_Florida_17862_17883_18306_18992,318398498,96.55%,
1849,50,45,81,0,0,0,0,A,Saluda County,South Carolina,18859,18830,18821,18938,County,Saluda County_South Carolina_18859_18830_18821_18938,318417436,96.56%,
1850,50,35,41,0,0,0,0,A,Roosevelt County,New Mexico,19197,19157,19017,18934,County,Roosevelt County_New Mexico_19197_19157_19017_18934,318436370,96.56%,
1851,50,27,161,0,0,0,0,A,Waseca County,Minnesota,18966,18964,18992,18893,County,Waseca County_Minnesota_18966_18964_18992_18893,318455263,96.57%,
1852,50,29,157,0,0,0,0,A,Perry County,Missouri,18954,18969,18956,18858,County,Perry County_Missouri_18954_18969_18956_18858,318474121,96.58%,
1853,50,5,121,0,0,0,0,A,Randolph County,Arkansas,18571,18590,18842,18837,County,Randolph County_Arkansas_18571_18590_18842_18837,318492958,96.58%,
1854,50,37,199,0,0,0,0,A,Yancey County,North Carolina,18470,18490,18776,18811,County,Yancey County_North Carolina_18470_18490_18776_18811,318511769,96.59%,
1855,50,27,55,0,0,0,0,A,Houston County,Minnesota,18849,18851,18829,18800,County,Houston County_Minnesota_18849_18851_18829_18800,318530569,96.59%,
1856,50,39,125,0,0,0,0,A,Paulding County,Ohio,18803,18805,18886,18757,County,Paulding County_Ohio_18803_18805_18886_18757,318549326,96.60%,
1857,50,1,91,0,0,0,0,A,Marengo County,Alabama,19324,19266,18961,18745,County,Marengo County_Alabama_19324_19266_18961_18745,318568071,96.60%,
1858,50,6,27,0,0,0,0,A,Inyo County,California,19025,19001,18927,18718,County,Inyo County_California_19025_19001_18927_18718,318586789,96.61%,
1859,50,37,185,0,0,0,0,A,Warren County,North Carolina,18642,18598,18791,18713,County,Warren County_North Carolina_18642_18598_18791_18713,318605502,96.61%,
1860,50,51,193,0,0,0,0,A,Westmoreland County,Virginia,18477,18508,18732,18712,County,Westmoreland County_Virginia_18477_18508_18732_18712,318624214,96.62%,
1861,50,1,107,0,0,0,0,A,Pickens County,Alabama,19124,18922,18615,18697,County,Pickens County_Alabama_19124_18922_18615_18697,318642911,96.63%,
1862,50,48,35,0,0,0,0,A,Bosque County,Texas,18226,18245,18495,18697,County,Bosque County_Texas_18226_18245_18495_18697,318661608,96.63%,
1863,50,28,131,0,0,0,0,A,Stone County,Mississippi,18336,18332,18589,18669,County,Stone County_Mississippi_18336_18332_18589_18669,318680277,96.64%,
1864,50,53,55,0,0,0,0,A,San Juan County,Washington,17789,17827,18615,18662,County,San Juan County_Washington_17789_17827_18615_18662,318698939,96.64%,
1865,50,48,51,0,0,0,0,A,Burleson County,Texas,17642,17680,18110,18657,County,Burleson County_Texas_17642_17680_18110_18657,318717596,96.65%,
1866,50,1,13,0,0,0,0,A,Butler County,Alabama,19055,19031,18855,18650,County,Butler County_Alabama_19055_19031_18855_18650,318736246,96.65%,
1867,50,29,186,0,0,0,0,A,Ste. Genevieve County,Missouri,18479,18474,18571,18644,County,Ste. Genevieve County_Missouri_18479_18474_18571_18644,318754890,96.66%,
1868,50,28,141,0,0,0,0,A,Tishomingo County,Mississippi,18854,18843,18732,18619,County,Tishomingo County_Mississippi_18854_18843_18732_18619,318773509,96.67%,
1869,50,55,113,0,0,0,0,A,Sawyer County,Wisconsin,18080,18123,18247,18559,County,Sawyer County_Wisconsin_18080_18123_18247_18559,318792068,96.67%,
1870,50,17,33,0,0,0,0,A,Crawford County,Illinois,18672,18648,18691,18536,County,Crawford County_Illinois_18672_18648_18691_18536,318810604,96.68%,
1871,50,1,87,0,0,0,0,A,Macon County,Alabama,19534,19473,18906,18516,County,Macon County_Alabama_19534_19473_18906_18516,318829120,96.68%,
1872,50,51,101,0,0,0,0,A,King William County,Virginia,17811,17916,18205,18492,County,King William County_Virginia_17811_17916_18205_18492,318847612,96.69%,
1873,50,19,157,0,0,0,0,A,Poweshiek County,Iowa,18658,18628,18603,18467,County,Poweshiek County_Iowa_18658_18628_18603_18467,318866079,96.69%,
1874,50,20,41,0,0,0,0,A,Dickinson County,Kansas,18397,18368,18483,18430,County,Dickinson County_Kansas_18397_18368_18483_18430,318884509,96.70%,
1875,50,13,1,0,0,0,0,A,Appling County,Georgia,18440,18366,18411,18428,County,Appling County_Georgia_18440_18366_18411_18428,318902937,96.71%,
1876,50,19,31,0,0,0,0,A,Cedar County,Iowa,18497,18491,18444,18399,County,Cedar County_Iowa_18497_18491_18444_18399,318921336,96.71%,
1877,50,28,25,0,0,0,0,A,Clay County,Mississippi,18635,18621,18500,18380,County,Clay County_Mississippi_18635_18621_18500_18380,318939716,96.72%,
1878,50,48,117,0,0,0,0,A,Deaf Smith County,Texas,18585,18526,18345,18377,County,Deaf Smith County_Texas_18585_18526_18345_18377,318958093,96.72%,
1879,50,5,3,0,0,0,0,A,Ashley County,Arkansas,19064,18962,18649,18354,County,Ashley County_Arkansas_19064_18962_18649_18354,318976447,96.73%,
1880,50,13,183,0,0,0,0,A,Long County,Georgia,16158,16269,17089,18348,County,Long County_Georgia_16158_16269_17089_18348,318994795,96.73%,
1881,50,20,87,0,0,0,0,A,Jefferson County,Kansas,18359,18320,18419,18344,County,Jefferson County_Kansas_18359_18320_18419_18344,319013139,96.74%,
1882,50,48,3,0,0,0,0,A,Andrews County,Texas,18614,18617,18411,18334,County,Andrews County_Texas_18614_18617_18411_18334,319031473,96.74%,
1883,50,8,89,0,0,0,0,A,Otero County,Colorado,18692,18667,18536,18303,County,Otero County_Colorado_18692_18667_18536_18303,319049776,96.75%,
1884,50,26,19,0,0,0,0,A,Benzie County,Michigan,17973,17997,18236,18297,County,Benzie County_Michigan_17973_17997_18236_18297,319068073,96.76%,
1885,50,13,19,0,0,0,0,A,Berrien County,Georgia,18166,18148,18128,18214,County,Berrien County_Georgia_18166_18148_18128_18214,319086287,96.76%,
1886,50,12,79,0,0,0,0,A,Madison County,Florida,17970,17866,18069,18198,County,Madison County_Florida_17970_17866_18069_18198,319104485,96.77%,
1887,50,13,25,0,0,0,0,A,Brantley County,Georgia,18021,18043,18121,18183,County,Brantley County_Georgia_18021_18043_18121_18183,319122668,96.77%,
1888,50,26,79,0,0,0,0,A,Kalkaska County,Michigan,17928,17916,17958,18182,County,Kalkaska County_Michigan_17928_17916_17958_18182,319140850,96.78%,
1889,50,21,207,0,0,0,0,A,Russell County,Kentucky,17990,17995,18195,18178,County,Russell County_Kentucky_17990_17995_18195_18178,319159028,96.78%,
1890,50,5,53,0,0,0,0,A,Grant County,Arkansas,17966,18022,18149,18160,County,Grant County_Arkansas_17966_18022_18149_18160,319177188,96.79%,
1891,50,22,29,0,0,0,0,A,Concordia Parish,Louisiana,18681,18568,18373,18116,Parish,Concordia Parish_Louisiana_18681_18568_18373_18116,319195304,96.79%,
1892,50,45,49,0,0,0,0,A,Hampton County,South Carolina,18561,18519,18236,18113,County,Hampton County_South Carolina_18561_18519_18236_18113,319213417,96.80%,
1893,50,28,31,0,0,0,0,A,Covington County,Mississippi,18339,18298,18250,18098,County,Covington County_Mississippi_18339_18298_18250_18098,319231515,96.80%,
1894,50,42,93,0,0,0,0,A,Montour County,Pennsylvania,18145,18129,18103,18091,County,Montour County_Pennsylvania_18145_18129_18103_18091,319249606,96.81%,
1895,50,47,91,0,0,0,0,A,Johnson County,Tennessee,17950,17990,18056,18086,County,Johnson County_Tennessee_17950_17990_18056_18086,319267692,96.82%,
1896,50,19,59,0,0,0,0,A,Dickinson County,Iowa,17704,17766,17852,18028,County,Dickinson County_Iowa_17704_17766_17852_18028,319285720,96.82%,
1897,50,29,3,0,0,0,0,A,Andrew County,Missouri,18128,18098,18009,18003,County,Andrew County_Missouri_18128_18098_18009_18003,319303723,96.83%,
1898,50,48,503,0,0,0,0,A,Young County,Texas,17867,17847,17911,17962,County,Young County_Texas_17867_17847_17911_17962,319321685,96.83%,
1899,50,48,287,0,0,0,0,A,Lee County,Texas,17480,17502,17671,17954,County,Lee County_Texas_17480_17502_17671_17954,319339639,96.84%,
1900,50,48,133,0,0,0,0,A,Eastland County,Texas,17733,17775,17834,17944,County,Eastland County_Texas_17733_17775_17834_17944,319357583,96.84%,
1901,50,8,93,0,0,0,0,A,Park County,Colorado,17395,17419,17758,17939,County,Park County_Colorado_17395_17419_17758_17939,319375522,96.85%,
1902,50,51,175,0,0,0,0,A,Southampton County,Virginia,18001,17952,18037,17932,County,Southampton County_Virginia_18001_17952_18037_17932,319393454,96.85%,
1903,50,47,139,0,0,0,0,A,Polk County,Tennessee,17547,17568,17784,17863,County,Polk County_Tennessee_17547_17568_17784_17863,319411317,96.86%,
1904,50,54,47,0,0,0,0,A,McDowell County,West Virginia,19118,18921,18413,17850,County,McDowell County_West Virginia_19118_18921_18413_17850,319429167,96.86%,
1905,50,48,163,0,0,0,0,A,Frio County,Texas,18392,18409,17548,17815,County,Frio County_Texas_18392_18409_17548_17815,319446982,96.87%,
1906,50,5,135,0,0,0,0,A,Sharp County,Arkansas,17280,17319,17660,17810,County,Sharp County_Arkansas_17280_17319_17660_17810,319464792,96.88%,
1907,50,30,67,0,0,0,0,A,Park County,Montana,17193,17224,17531,17790,County,Park County_Montana_17193_17224_17531_17790,319482582,96.88%,
1908,50,46,65,0,0,0,0,A,Hughes County,South Dakota,17774,17745,17768,17692,County,Hughes County_South Dakota_17774_17745_17768_17692,319500274,96.89%,
1909,50,31,159,0,0,0,0,A,Seward County,Nebraska,17608,17614,17584,17692,County,Seward County_Nebraska_17608_17614_17584_17692,319517966,96.89%,
1910,50,47,171,0,0,0,0,A,Unicoi County,Tennessee,17924,17883,17667,17674,County,Unicoi County_Tennessee_17924_17883_17667_17674,319535640,96.90%,
1911,50,29,163,0,0,0,0,A,Pike County,Missouri,17590,17408,17602,17664,County,Pike County_Missouri_17590_17408_17602_17664,319553304,96.90%,
1912,50,1,67,0,0,0,0,A,Henry County,Alabama,17148,17175,17434,17655,County,Henry County_Alabama_17148_17175_17434_17655,319570959,96.91%,
1913,50,36,97,0,0,0,0,A,Schuyler County,New York,17894,17863,17800,17650,County,Schuyler County_New York_17894_17863_17800_17650,319588609,96.91%,
1914,50,51,141,0,0,0,0,A,Patrick County,Virginia,17604,17583,17668,17643,County,Patrick County_Virginia_17604_17583_17668_17643,319606252,96.92%,
1915,50,29,59,0,0,0,0,A,Dallas County,Missouri,17070,17130,17371,17626,County,Dallas County_Missouri_17070_17130_17371_17626,319623878,96.92%,
1916,50,47,23,0,0,0,0,A,Chester County,Tennessee,17348,17377,17479,17609,County,Chester County_Tennessee_17348_17377_17479_17609,319641487,96.93%,
1917,50,16,49,0,0,0,0,A,Idaho County,Idaho,16542,16588,17053,17593,County,Idaho County_Idaho_16542_16588_17053_17593,319659080,96.93%,
1918,50,21,79,0,0,0,0,A,Garrard County,Kentucky,16949,16965,17385,17589,County,Garrard County_Kentucky_16949_16965_17385_17589,319676669,96.94%,
1919,50,37,11,0,0,0,0,A,Avery County,North Carolina,17812,17848,17502,17571,County,Avery County_North Carolina_17812_17848_17502_17571,319694240,96.95%,
1920,50,19,55,0,0,0,0,A,Delaware County,Iowa,17484,17456,17531,17568,County,Delaware County_Iowa_17484_17456_17531_17568,319711808,96.95%,
1921,50,47,75,0,0,0,0,A,Haywood County,Tennessee,17862,17824,17715,17550,County,Haywood County_Tennessee_17862_17824_17715_17550,319729358,96.96%,
1922,50,28,159,0,0,0,0,A,Winston County,Mississippi,17709,17683,17608,17543,County,Winston County_Mississippi_17709_17683_17608_17543,319746901,96.96%,
